categorie,categorie_label,praxis_relevant,scor,regiune,npa,oras,adresa,titlu,tip_obiect,chirie_neta,nebenkosten,suprafata_utila,nr_imagini,lungime_descriere,url,folder
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1862.0,Berna (oraș),3008,Bern,"Murtenstrasse 143, 3008 Bern","Murtenstrasse 143, 3008 Bern - CHF 120 exkl. NK pro m² / Jahr",OFFICE,120,,235,10,2147,https://flatfox.ch/de/wohnung/murtenstrasse-143-3008-bern/1603575/,B_buero_gewerbe/1603575-bern-235m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1856.0,Berna (oraș),3000,Bern,"Feldstrasse 32a, 3000 Bern","Feldstrasse 32a, 3000 Bern - CHF 267",COMMERCIAL,242,25,983,12,2340,https://flatfox.ch/de/wohnung/feldstrasse-32a-3000-bern/85475288/,B_buero_gewerbe/85475288-bern-983m-gewerbe
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1856.0,Berna (oraș),3000,Bern,"Feldstrasse 32a, 3000 Bern","Feldstrasse 32a, 3000 Bern - CHF 267",OFFICE,242,25,983,12,2334,https://flatfox.ch/de/wohnung/feldstrasse-32a-3000-bern/85475289/,B_buero_gewerbe/85475289-bern-983m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1844.0,Berna (oraș),3006,Bern,"Giacomettistrasse 15, 3006 Bern","Giacomettistrasse 15, 3006 Bern - auf Anfrage",OFFICE,,,332,10,1203,https://flatfox.ch/de/wohnung/giacomettistrasse-15-3006-bern/85330462/,B_buero_gewerbe/85330462-bern-332m-buero
A_praxis_medical,Praxis / cabinet medical / terapie,da,1842.0,Berna (oraș),3008,Bern,"Murtenstrasse 143, 3008 Bern","Murtenstrasse 143, 3008 Bern - CHF 120 exkl. NK pro m² / Jahr",PRACTICE,120,,235,10,2147,https://flatfox.ch/de/wohnung/murtenstrasse-143-3008-bern/1665091/,A_praxis_medical/1665091-bern-235m-praxis
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1827.0,Berna (oraș),3014,Bern,"Sempachstrasse 22, 3014 Bern","Sempachstrasse 22, 3014 Bern - CHF 200 exkl. NK pro m² / Jahr",OFFICE,200,,272,6,2725,https://flatfox.ch/de/wohnung/sempachstrasse-22-3014-bern/85944176/,B_buero_gewerbe/85944176-bern-165-272m-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1827.0,Berna (oraș),3014,Bern,"Sempachstrasse 22, 3014 Bern","Sempachstrasse 22, 3014 Bern - CHF 200 exkl. NK pro m² / Jahr",OFFICE,200,,272,6,2725,https://flatfox.ch/de/wohnung/sempachstrasse-22-3014-bern/85955442/,B_buero_gewerbe/85955442-bern-107-272m-buero
A_praxis_medical,Praxis / cabinet medical / terapie,da,1824.0,Berna (oraș),3008,Bern,"Könizstrasse 74, 3008 Bern","Könizstrasse 74, 3008 Bern - auf Anfrage",PRACTICE,,,50,12,1987,https://flatfox.ch/de/wohnung/konizstrasse-74-3008-bern/85864224/,A_praxis_medical/85864224-bern-50-50m-praxis
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1824.0,Berna (oraș),3007,Bern,"Zieglerstrasse 29, 3007 Bern","Zieglerstrasse 29, 3007 Bern - CHF 210 exkl. NK pro m² / Jahr",OFFICE,210,,,20,1361,https://flatfox.ch/de/wohnung/zieglerstrasse-29-3007-bern/86098908/,B_buero_gewerbe/86098908-bern-buero
B_buero_gewerbe,Birou / gewerbe / atelier / coworking,da,1800.0,Cantonul Berna,3084,Wabern,"Funkstrasse 84, 3084 Wabern","Funkstrasse 84, 3084 Wabern - CHF 183 inkl. NK pro m² / Jahr",OFFICE,150,33,309,12,3419,https://flatfox.ch/de/wohnung/funkstrasse-84-3084-wabern/570005/,B_buero_gewerbe/570005-wabern-309m-buero
